Neighborhood,Id,Estimate; Aggregate household income in the past 12 months (in 2015 Inflation-adjusted dollars),Margin of Error; Aggregate household income in the past 12 months (in 2015 Inflation-adjusted dollars)
Allegheny Center,1,39947000,6437773
Allegheny West,2,23793300,22025939
Allentown,3,38303700,7.490.207.043
Arlington,4,35349900,6.140.662.723
Arlington Heights,5,2389600,1162393
Banksville,6,138084700,25839798.58
Bedford Dwellings,7,10529100,1666825
Beechview,8,193055900,20558893.78
Beltzhoover,9,28121300,6.955.896.138
Bloomfield,10,249898900,17631530.8
Bluff,11,11005200,3.053.714.909
Bon Air,12,22093100,4363955
Brighton Heights,13,201692800,18528009.98
Brookline,14,366945900,33459110.1
California-Kirkbride,15,10718900,2850114
Carrick,16,221221100,25358376.69
Central Business District,17,210460000,38813243.08
Central Lawrenceville,18,144917900,14971960.03
Central Northside,19,96353500,14187902.91
Central Oakland,20,55528300,8.248.328.467
Chartiers City,21,13805200,4387080
Chateau,22,0,0
Crafton Heights,23,89278600,14312490.15
Crawford-Roberts,24,34226600,7.964.968.613
Duquesne Heights,25,91613300,18318437.52
East Allegheny,26,56433100,9.846.049.456
East Carnegie,27,14945000,4062628
East Hills,28,41528200,7.871.752.465
East Liberty,29,115711700,16575789.33
Elliott,30,43215900,8.110.202.165
Esplen,31,5433900,2379084
Fairywood,32,33908400,8418356
Fineview,33,25475500,7.391.478.933
Friendship,34,47475400,8.631.431.016
Garfield,35,67632800,16399392.03
Glen Hazel,36,4773300,2914988
Greenfield,37,241377900,26174704.08
Hays,38,6432200,1912520
Hazelwood,39,75829000,13563882.14
Highland Park,40,242405400,35463932.76
Homewood North,41,37727300,7.125.085.724
Homewood South,42,29434400,4.468.174.859
Homewood West,43,11290000,2.726.332.295
Knoxville,44,60537300,11423844.9
Larimer,45,18139300,3.363.490.759
Lincoln Place,46,84551900,12450240.87
Lincoln-Lemington-Belmar,47,91032900,15513365.3
Lower Lawrenceville,48,63562900,9.964.615.088
Manchester,49,54372200,15557377.68
Marshall-Shadeland,50,68871800,10291350.2
Middle Hill,51,27566200,5776016.68
Morningside,52,87871100,11202092.89
Mount Oliver Borough,53,61592000,18596383.52
Mount Washington,54,267100700,26611655.18
Mt. Oliver,55,13962700,3748518
New Homestead,56,27062600,3763271
North Oakland,57,123408700,20564747.34
North Shore,58,12397000,4415906
Northview Heights,59,8755000,2398522
Oakwood,60,25014900,4076094
Overbrook,61,90146300,10295987.27
Perry North,62,104107900,12948264.12
Perry South,63,54989600,8.757.091.783
Point Breeze,64,314958500,30291428.03
Point Breeze North,65,59572300,9.198.290.554
Polish Hill,66,38888900,6.374.407.742
Regent Square,67,52288700,8704589
Ridgemont,68,7893900,2639357
Shadyside,69,605635700,62416083.58
Sheraden,70,101081700,11670388.95
South Oakland,71,47722300,10823398.42
South Shore,72,0,0
South Side Flats,73,233098400,31279286.86
South Side Slopes,74,123648400,18884639.17
Spring Garden,75,15833800,2.941.611.233
Spring Hill-City View,76,46688500,9.345.349.907
Squirrel Hill North,77,577467500,66363783.65
Squirrel Hill South,78,659886300,57908445.45
St. Clair,79,3867600,1527597
Stanton Heights,80,134047100,15607513.66
Strip District,81,91738300,37240188
Summer Hill,82,40337500,8808166
Swisshelm Park,83,43095600,4652129
Terrace Village,84,16879300,3.672.343.904
Troy Hill,85,77521600,22171205.68
Upper Hill,86,39512800,12264473.26
Upper Lawrenceville,87,65738500,16007126
West End,88,3615800,2204875
West Oakland,89,16339500,3.412.753.172
Westwood,90,91857100,11304497.08
Windgap,91,34609300,6432817.1
0,0,0,Margin of Error; Aggregate household income in the past 12 months (in 2015 Inflation-adjusted dollars)
0,0,0,6437773
0,0,0,22025939
0,0,0,7.490.207.043
0,0,0,6.140.662.723
0,0,0,1162393
0,0,0,25839798.58
0,0,0,1666825
0,0,0,20558893.78
0,0,0,6.955.896.138
0,0,0,17631530.8
0,0,0,3.053.714.909
0,0,0,4363955
0,0,0,18528009.98
0,0,0,33459110.1
0,0,0,2850114
0,0,0,25358376.69
0,0,0,38813243.08
0,0,0,14971960.03
0,0,0,14187902.91
0,0,0,8.248.328.467
0,0,0,4387080
0,0,0,0
0,0,0,14312490.15
0,0,0,7.964.968.613
0,0,0,18318437.52
0,0,0,9.846.049.456
0,0,0,4062628
0,0,0,7.871.752.465
0,0,0,16575789.33
0,0,0,8.110.202.165
0,0,0,2379084
0,0,0,8418356
0,0,0,7.391.478.933
0,0,0,8.631.431.016
0,0,0,16399392.03
0,0,0,2914988
0,0,0,26174704.08
0,0,0,1912520
0,0,0,13563882.14
0,0,0,35463932.76
0,0,0,7.125.085.724
0,0,0,4.468.174.859
0,0,0,2.726.332.295
0,0,0,11423844.9
0,0,0,3.363.490.759
0,0,0,12450240.87
0,0,0,15513365.3
0,0,0,9.964.615.088
0,0,0,15557377.68
0,0,0,10291350.2
0,0,0,5776016.68
0,0,0,11202092.89
0,0,0,18596383.52
0,0,0,26611655.18
0,0,0,3748518
0,0,0,3763271
0,0,0,20564747.34
0,0,0,4415906
0,0,0,2398522
0,0,0,4076094
0,0,0,10295987.27
0,0,0,12948264.12
0,0,0,8.757.091.783
0,0,0,30291428.03
0,0,0,9.198.290.554
0,0,0,6.374.407.742
0,0,0,8704589
0,0,0,2639357
0,0,0,62416083.58
0,0,0,11670388.95
0,0,0,10823398.42
0,0,0,0
0,0,0,31279286.86
0,0,0,18884639.17
0,0,0,2.941.611.233
0,0,0,9.345.349.907
0,0,0,66363783.65
0,0,0,57908445.45
0,0,0,1527597
0,0,0,15607513.66
0,0,0,37240188
0,0,0,8808166
0,0,0,4652129
0,0,0,3.672.343.904
0,0,0,22171205.68
0,0,0,12264473.26
0,0,0,16007126
0,0,0,2204875
0,0,0,3.412.753.172
0,0,0,11304497.08
0,0,0,6432817.1
0,0,0,Margin of Error; Aggregate household income in the past 12 months (in 2015 Inflation-adjusted dollars)
0,0,0,6437773
0,0,0,22025939
0,0,0,7.490.207.043
0,0,0,6.140.662.723
0,0,0,1162393
0,0,0,25839798.58
0,0,0,1666825
0,0,0,20558893.78
0,0,0,6.955.896.138
0,0,0,17631530.8
0,0,0,3.053.714.909
0,0,0,4363955
0,0,0,18528009.98
0,0,0,33459110.1
0,0,0,2850114
0,0,0,25358376.69
0,0,0,38813243.08
0,0,0,14971960.03
0,0,0,14187902.91
0,0,0,8.248.328.467
0,0,0,4387080
0,0,0,0
0,0,0,14312490.15
0,0,0,7.964.968.613
0,0,0,18318437.52
0,0,0,9.846.049.456
0,0,0,4062628
0,0,0,7.871.752.465
0,0,0,16575789.33
0,0,0,8.110.202.165
0,0,0,2379084
0,0,0,8418356
0,0,0,7.391.478.933
0,0,0,8.631.431.016
0,0,0,16399392.03
0,0,0,2914988
0,0,0,26174704.08
0,0,0,1912520
0,0,0,13563882.14
0,0,0,35463932.76
0,0,0,7.125.085.724
0,0,0,4.468.174.859
0,0,0,2.726.332.295
0,0,0,11423844.9
0,0,0,3.363.490.759
0,0,0,12450240.87
0,0,0,15513365.3
0,0,0,9.964.615.088
0,0,0,15557377.68
0,0,0,10291350.2
0,0,0,5776016.68
0,0,0,11202092.89
0,0,0,18596383.52
0,0,0,26611655.18
0,0,0,3748518
0,0,0,3763271
0,0,0,20564747.34
0,0,0,4415906
0,0,0,2398522
0,0,0,4076094
0,0,0,10295987.27
0,0,0,12948264.12
0,0,0,8.757.091.783
0,0,0,30291428.03
0,0,0,9.198.290.554
0,0,0,6.374.407.742
0,0,0,8704589
0,0,0,2639357
0,0,0,62416083.58
0,0,0,11670388.95
0,0,0,10823398.42
0,0,0,0
0,0,0,31279286.86
0,0,0,18884639.17
0,0,0,2.941.611.233
0,0,0,9.345.349.907
0,0,0,66363783.65
0,0,0,57908445.45
0,0,0,1527597
0,0,0,15607513.66
0,0,0,37240188
0,0,0,8808166
0,0,0,4652129
0,0,0,3.672.343.904
0,0,0,22171205.68
0,0,0,12264473.26
0,0,0,16007126
0,0,0,2204875
0,0,0,3.412.753.172
0,0,0,11304497.08
0,0,0,6432817.1
0,0,0,Margin of Error; Aggregate household income in the past 12 months (in 2015 Inflation-adjusted dollars)
0,0,0,6437773
0,0,0,22025939
0,0,0,7.490.207.043
0,0,0,6.140.662.723
0,0,0,1162393
0,0,0,25839798.58
0,0,0,1666825
0,0,0,20558893.78
0,0,0,6.955.896.138
0,0,0,17631530.8
0,0,0,3.053.714.909
0,0,0,4363955
0,0,0,18528009.98
0,0,0,33459110.1
0,0,0,2850114
0,0,0,25358376.69
0,0,0,38813243.08
0,0,0,14971960.03
0,0,0,14187902.91
0,0,0,8.248.328.467
0,0,0,4387080
0,0,0,0
0,0,0,14312490.15
0,0,0,7.964.968.613
0,0,0,18318437.52
0,0,0,9.846.049.456
0,0,0,4062628
0,0,0,7.871.752.465
0,0,0,16575789.33
0,0,0,8.110.202.165
0,0,0,2379084
0,0,0,8418356
0,0,0,7.391.478.933
0,0,0,8.631.431.016
0,0,0,16399392.03
0,0,0,2914988
0,0,0,26174704.08
0,0,0,1912520
0,0,0,13563882.14
0,0,0,35463932.76
0,0,0,7.125.085.724
0,0,0,4.468.174.859
0,0,0,2.726.332.295
0,0,0,11423844.9
0,0,0,3.363.490.759
0,0,0,12450240.87
0,0,0,15513365.3
0,0,0,9.964.615.088
0,0,0,15557377.68
0,0,0,10291350.2
0,0,0,5776016.68
0,0,0,11202092.89
0,0,0,18596383.52
0,0,0,26611655.18
0,0,0,3748518
0,0,0,3763271
0,0,0,20564747.34
0,0,0,4415906
0,0,0,2398522
0,0,0,4076094
0,0,0,10295987.27
0,0,0,12948264.12
0,0,0,8.757.091.783
0,0,0,30291428.03
0,0,0,9.198.290.554
0,0,0,6.374.407.742
0,0,0,8704589
0,0,0,2639357
0,0,0,62416083.58
0,0,0,11670388.95
0,0,0,10823398.42
0,0,0,0
0,0,0,31279286.86
0,0,0,18884639.17
0,0,0,2.941.611.233
0,0,0,9.345.349.907
0,0,0,66363783.65
0,0,0,57908445.45
0,0,0,1527597
0,0,0,15607513.66
0,0,0,37240188
0,0,0,8808166
0,0,0,4652129
0,0,0,3.672.343.904
0,0,0,22171205.68
0,0,0,12264473.26
0,0,0,16007126
0,0,0,2204875
0,0,0,3.412.753.172
0,0,0,11304497.08
0,0,0,6432817.1
0,0,0,Margin of Error; Aggregate household income in the past 12 months (in 2015 Inflation-adjusted dollars)
0,0,0,6437773
0,0,0,22025939
0,0,0,7.490.207.043
0,0,0,6.140.662.723
0,0,0,1162393
0,0,0,25839798.58
0,0,0,1666825
0,0,0,20558893.78
0,0,0,6.955.896.138
0,0,0,17631530.8
0,0,0,3.053.714.909
0,0,0,4363955
0,0,0,18528009.98
0,0,0,33459110.1
0,0,0,2850114
0,0,0,25358376.69
0,0,0,38813243.08
0,0,0,14971960.03
0,0,0,14187902.91
0,0,0,8.248.328.467
0,0,0,4387080
0,0,0,0
0,0,0,14312490.15
0,0,0,7.964.968.613
0,0,0,18318437.52
0,0,0,9.846.049.456
0,0,0,4062628
0,0,0,7.871.752.465
0,0,0,16575789.33
0,0,0,8.110.202.165
0,0,0,2379084
0,0,0,8418356
0,0,0,7.391.478.933
0,0,0,8.631.431.016
0,0,0,16399392.03
0,0,0,2914988
0,0,0,26174704.08
0,0,0,1912520
0,0,0,13563882.14
0,0,0,35463932.76
0,0,0,7.125.085.724
0,0,0,4.468.174.859
0,0,0,2.726.332.295
0,0,0,11423844.9
0,0,0,3.363.490.759
0,0,0,12450240.87
0,0,0,15513365.3
0,0,0,9.964.615.088
0,0,0,15557377.68
0,0,0,10291350.2
0,0,0,5776016.68
0,0,0,11202092.89
0,0,0,18596383.52
0,0,0,26611655.18
0,0,0,3748518
0,0,0,3763271
0,0,0,20564747.34
0,0,0,4415906
0,0,0,2398522
0,0,0,4076094
0,0,0,10295987.27
0,0,0,12948264.12
0,0,0,8.757.091.783
0,0,0,30291428.03
0,0,0,9.198.290.554
0,0,0,6.374.407.742
0,0,0,8704589
0,0,0,2639357
0,0,0,62416083.58
0,0,0,11670388.95
0,0,0,10823398.42
0,0,0,0
0,0,0,31279286.86
0,0,0,18884639.17
0,0,0,2.941.611.233
0,0,0,9.345.349.907
0,0,0,66363783.65
0,0,0,57908445.45
0,0,0,1527597
0,0,0,15607513.66
0,0,0,37240188
0,0,0,8808166
0,0,0,4652129
0,0,0,3.672.343.904
0,0,0,22171205.68
0,0,0,12264473.26
0,0,0,16007126
0,0,0,2204875
0,0,0,3.412.753.172
0,0,0,11304497.08
0,0,0,6432817.1
0,0,0,Margin of Error; Aggregate household income in the past 12 months (in 2015 Inflation-adjusted dollars)
0,0,0,6437773
0,0,0,22025939
0,0,0,7.490.207.043
0,0,0,6.140.662.723
0,0,0,1162393
0,0,0,25839798.58
0,0,0,1666825
0,0,0,20558893.78
0,0,0,6.955.896.138
0,0,0,17631530.8
0,0,0,3.053.714.909
0,0,0,4363955
0,0,0,18528009.98
0,0,0,33459110.1
0,0,0,2850114
0,0,0,25358376.69
0,0,0,38813243.08
0,0,0,14971960.03
0,0,0,14187902.91
0,0,0,8.248.328.467
0,0,0,4387080
0,0,0,0
0,0,0,14312490.15
0,0,0,7.964.968.613
0,0,0,18318437.52
0,0,0,9.846.049.456
0,0,0,4062628
0,0,0,7.871.752.465
0,0,0,16575789.33
0,0,0,8.110.202.165
0,0,0,2379084
0,0,0,8418356
0,0,0,7.391.478.933
0,0,0,8.631.431.016
0,0,0,16399392.03
0,0,0,2914988
0,0,0,26174704.08
0,0,0,1912520
0,0,0,13563882.14
0,0,0,35463932.76
0,0,0,7.125.085.724
0,0,0,4.468.174.859
0,0,0,2.726.332.295
0,0,0,11423844.9
0,0,0,3.363.490.759
0,0,0,12450240.87
0,0,0,15513365.3
0,0,0,9.964.615.088
0,0,0,15557377.68
0,0,0,10291350.2
0,0,0,5776016.68
0,0,0,11202092.89
0,0,0,18596383.52
0,0,0,26611655.18
0,0,0,3748518
0,0,0,3763271
0,0,0,20564747.34
0,0,0,4415906
0,0,0,2398522
0,0,0,4076094
0,0,0,10295987.27
0,0,0,12948264.12
0,0,0,8.757.091.783
0,0,0,30291428.03
0,0,0,9.198.290.554
0,0,0,6.374.407.742
0,0,0,8704589
0,0,0,2639357
0,0,0,62416083.58
0,0,0,11670388.95
0,0,0,10823398.42
0,0,0,0
0,0,0,31279286.86
0,0,0,18884639.17
0,0,0,2.941.611.233
0,0,0,9.345.349.907
0,0,0,66363783.65
0,0,0,57908445.45
0,0,0,1527597
0,0,0,15607513.66
0,0,0,37240188
0,0,0,8808166
0,0,0,4652129
0,0,0,3.672.343.904
0,0,0,22171205.68
0,0,0,12264473.26
0,0,0,16007126
0,0,0,2204875
0,0,0,3.412.753.172
0,0,0,11304497.08
0,0,0,6432817.1
0,0,0,Margin of Error; Aggregate household income in the past 12 months (in 2015 Inflation-adjusted dollars)
0,0,0,6437773
0,0,0,22025939
0,0,0,7.490.207.043
0,0,0,6.140.662.723
0,0,0,1162393
0,0,0,25839798.58
0,0,0,1666825
0,0,0,20558893.78
0,0,0,6.955.896.138
0,0,0,17631530.8
0,0,0,3.053.714.909
0,0,0,4363955
0,0,0,18528009.98
0,0,0,33459110.1
0,0,0,2850114
0,0,0,25358376.69
0,0,0,38813243.08
0,0,0,14971960.03
0,0,0,14187902.91
0,0,0,8.248.328.467
0,0,0,4387080
0,0,0,0
0,0,0,14312490.15
0,0,0,7.964.968.613
0,0,0,18318437.52
0,0,0,9.846.049.456
0,0,0,4062628
0,0,0,7.871.752.465
0,0,0,16575789.33
0,0,0,8.110.202.165
0,0,0,2379084
0,0,0,8418356
0,0,0,7.391.478.933
0,0,0,8.631.431.016
0,0,0,16399392.03
0,0,0,2914988
0,0,0,26174704.08
0,0,0,1912520
0,0,0,13563882.14
0,0,0,35463932.76
0,0,0,7.125.085.724
0,0,0,4.468.174.859
0,0,0,2.726.332.295
0,0,0,11423844.9
0,0,0,3.363.490.759
0,0,0,12450240.87
0,0,0,15513365.3
0,0,0,9.964.615.088
0,0,0,15557377.68
0,0,0,10291350.2
0,0,0,5776016.68
0,0,0,11202092.89
0,0,0,18596383.52
0,0,0,26611655.18
0,0,0,3748518
0,0,0,3763271
0,0,0,20564747.34
0,0,0,4415906
0,0,0,2398522
0,0,0,4076094
0,0,0,10295987.27
0,0,0,12948264.12
0,0,0,8.757.091.783
0,0,0,30291428.03
0,0,0,9.198.290.554
0,0,0,6.374.407.742
0,0,0,8704589
0,0,0,2639357
0,0,0,62416083.58
0,0,0,11670388.95
0,0,0,10823398.42
0,0,0,0
0,0,0,31279286.86
0,0,0,18884639.17
0,0,0,2.941.611.233
0,0,0,9.345.349.907
0,0,0,66363783.65
0,0,0,57908445.45
0,0,0,1527597
0,0,0,15607513.66
0,0,0,37240188
0,0,0,8808166
0,0,0,4652129
0,0,0,3.672.343.904
0,0,0,22171205.68
0,0,0,12264473.26
0,0,0,16007126
0,0,0,2204875
0,0,0,3.412.753.172
0,0,0,11304497.08
0,0,0,6432817.1
0,0,0,Margin of Error; Aggregate household income in the past 12 months (in 2015 Inflation-adjusted dollars)
0,0,0,6437773
0,0,0,22025939
0,0,0,7.490.207.043
0,0,0,6.140.662.723
0,0,0,1162393
0,0,0,25839798.58
0,0,0,1666825
0,0,0,20558893.78
0,0,0,6.955.896.138
0,0,0,17631530.8
0,0,0,3.053.714.909
0,0,0,4363955
0,0,0,18528009.98
0,0,0,33459110.1
0,0,0,2850114
0,0,0,25358376.69
0,0,0,38813243.08
0,0,0,14971960.03
0,0,0,14187902.91
0,0,0,8.248.328.467
0,0,0,4387080
0,0,0,0
0,0,0,14312490.15
0,0,0,7.964.968.613
0,0,0,18318437.52
0,0,0,9.846.049.456
0,0,0,4062628
0,0,0,7.871.752.465
0,0,0,16575789.33
0,0,0,8.110.202.165
0,0,0,2379084
0,0,0,8418356
0,0,0,7.391.478.933
0,0,0,8.631.431.016
0,0,0,16399392.03
0,0,0,2914988
0,0,0,26174704.08
0,0,0,1912520
0,0,0,13563882.14
0,0,0,35463932.76
0,0,0,7.125.085.724
0,0,0,4.468.174.859
0,0,0,2.726.332.295
0,0,0,11423844.9
0,0,0,3.363.490.759
0,0,0,12450240.87
0,0,0,15513365.3
0,0,0,9.964.615.088
0,0,0,15557377.68
0,0,0,10291350.2
0,0,0,5776016.68
0,0,0,11202092.89
0,0,0,18596383.52
0,0,0,26611655.18
0,0,0,3748518
0,0,0,3763271
0,0,0,20564747.34
0,0,0,4415906
0,0,0,2398522
0,0,0,4076094
0,0,0,10295987.27
0,0,0,12948264.12
0,0,0,8.757.091.783
0,0,0,30291428.03
0,0,0,9.198.290.554
0,0,0,6.374.407.742
0,0,0,8704589
0,0,0,2639357
0,0,0,62416083.58
0,0,0,11670388.95
0,0,0,10823398.42
0,0,0,0
0,0,0,31279286.86
0,0,0,18884639.17
0,0,0,2.941.611.233
0,0,0,9.345.349.907
0,0,0,66363783.65
0,0,0,57908445.45
0,0,0,1527597
0,0,0,15607513.66
0,0,0,37240188
0,0,0,8808166
0,0,0,4652129
0,0,0,3.672.343.904
0,0,0,22171205.68
0,0,0,12264473.26
0,0,0,16007126
0,0,0,2204875
0,0,0,3.412.753.172
0,0,0,11304497.08
0,0,0,6432817.1
0,0,0,Margin of Error; Aggregate household income in the past 12 months (in 2015 Inflation-adjusted dollars)
0,0,0,6437773
0,0,0,22025939
0,0,0,7.490.207.043
0,0,0,6.140.662.723
0,0,0,1162393
0,0,0,25839798.58
0,0,0,1666825
0,0,0,20558893.78
0,0,0,6.955.896.138
0,0,0,17631530.8
0,0,0,3.053.714.909
0,0,0,4363955
0,0,0,18528009.98
0,0,0,33459110.1
0,0,0,2850114
0,0,0,25358376.69
0,0,0,38813243.08
0,0,0,14971960.03
0,0,0,14187902.91
0,0,0,8.248.328.467
0,0,0,4387080
0,0,0,0
0,0,0,14312490.15
0,0,0,7.964.968.613
0,0,0,18318437.52
0,0,0,9.846.049.456
0,0,0,4062628
0,0,0,7.871.752.465
0,0,0,16575789.33
0,0,0,8.110.202.165
0,0,0,2379084
0,0,0,8418356
0,0,0,7.391.478.933
0,0,0,8.631.431.016
0,0,0,16399392.03
0,0,0,2914988
0,0,0,26174704.08
0,0,0,1912520
0,0,0,13563882.14
0,0,0,35463932.76
0,0,0,7.125.085.724
0,0,0,4.468.174.859
0,0,0,2.726.332.295
0,0,0,11423844.9
0,0,0,3.363.490.759
0,0,0,12450240.87
0,0,0,15513365.3
0,0,0,9.964.615.088
0,0,0,15557377.68
0,0,0,10291350.2
0,0,0,5776016.68
0,0,0,11202092.89
0,0,0,18596383.52
0,0,0,26611655.18
0,0,0,3748518
0,0,0,3763271
0,0,0,20564747.34
0,0,0,4415906
0,0,0,2398522
0,0,0,4076094
0,0,0,10295987.27
0,0,0,12948264.12
0,0,0,8.757.091.783
0,0,0,30291428.03
0,0,0,9.198.290.554
0,0,0,6.374.407.742
0,0,0,8704589
0,0,0,2639357
0,0,0,62416083.58
0,0,0,11670388.95
0,0,0,10823398.42
0,0,0,0
0,0,0,31279286.86
0,0,0,18884639.17
0,0,0,2.941.611.233
0,0,0,9.345.349.907
0,0,0,66363783.65
0,0,0,57908445.45
0,0,0,1527597
0,0,0,15607513.66
0,0,0,37240188
0,0,0,8808166
0,0,0,4652129
0,0,0,3.672.343.904
0,0,0,22171205.68
0,0,0,12264473.26
0,0,0,16007126
0,0,0,2204875
0,0,0,3.412.753.172
0,0,0,11304497.08
0,0,0,6432817.1
0,0,0,Margin of Error; Aggregate household income in the past 12 months (in 2015 Inflation-adjusted dollars)
0,0,0,6437773
0,0,0,22025939
0,0,0,7.490.207.043
0,0,0,6.140.662.723
0,0,0,1162393
0,0,0,25839798.58
0,0,0,1666825
0,0,0,20558893.78
0,0,0,6.955.896.138
0,0,0,17631530.8
0,0,0,3.053.714.909
0,0,0,4363955
0,0,0,18528009.98
0,0,0,33459110.1
0,0,0,2850114
0,0,0,25358376.69
0,0,0,38813243.08
0,0,0,14971960.03
0,0,0,14187902.91
0,0,0,8.248.328.467
0,0,0,4387080
0,0,0,0
0,0,0,14312490.15
0,0,0,7.964.968.613
0,0,0,18318437.52
0,0,0,9.846.049.456
0,0,0,4062628
0,0,0,7.871.752.465
0,0,0,16575789.33
0,0,0,8.110.202.165
0,0,0,2379084
0,0,0,8418356
0,0,0,7.391.478.933
0,0,0,8.631.431.016
0,0,0,16399392.03
0,0,0,2914988
0,0,0,26174704.08
0,0,0,1912520
0,0,0,13563882.14
0,0,0,35463932.76
0,0,0,7.125.085.724
0,0,0,4.468.174.859
0,0,0,2.726.332.295
0,0,0,11423844.9
0,0,0,3.363.490.759
0,0,0,12450240.87
0,0,0,15513365.3
0,0,0,9.964.615.088
0,0,0,15557377.68
0,0,0,10291350.2
0,0,0,5776016.68
0,0,0,11202092.89
0,0,0,18596383.52
0,0,0,26611655.18
0,0,0,3748518
0,0,0,3763271
0,0,0,20564747.34
0,0,0,4415906
0,0,0,2398522
0,0,0,4076094
0,0,0,10295987.27
0,0,0,12948264.12
0,0,0,8.757.091.783
0,0,0,30291428.03
0,0,0,9.198.290.554
0,0,0,6.374.407.742
0,0,0,8704589
0,0,0,2639357
0,0,0,62416083.58
0,0,0,11670388.95
0,0,0,10823398.42
0,0,0,0
0,0,0,31279286.86
0,0,0,18884639.17
0,0,0,2.941.611.233
0,0,0,9.345.349.907
0,0,0,66363783.65
0,0,0,57908445.45
0,0,0,1527597
0,0,0,15607513.66
0,0,0,37240188
0,0,0,8808166
0,0,0,4652129
0,0,0,3.672.343.904
0,0,0,22171205.68
0,0,0,12264473.26
0,0,0,16007126
0,0,0,2204875
0,0,0,3.412.753.172
0,0,0,11304497.08
0,0,0,6432817.1